Id,Date,GrossSales,SalesForecast,BreadDescDBString
67,7/20/2017 12:00:00 AM,927.63,1200,Name=Sourdough;BeginInventory=64;FreezerCount=56;Delivery=144;Backup=64;ParFactor=10.43093;Id=-1|Name=Whole Wheat;BeginInventory=16;FreezerCount=32;Delivery=16;Backup=32;ParFactor=36.30034;Id=-1
68,7/21/2017 12:00:00 AM,902.24,1300,Name=Sourdough;BeginInventory=64;FreezerCount=56;Delivery=144;Backup=64;ParFactor=10.94129;Id=-1|Name=Whole Wheat;BeginInventory=8;FreezerCount=32;Delivery=32;Backup=32;ParFactor=40.91813;Id=-1
69,7/22/2017 12:00:00 AM,1268.47,1400,Name=Sourdough;BeginInventory=128;FreezerCount=56;Delivery=88;Backup=64;ParFactor=10.43093;Id=-1|Name=Whole Wheat;BeginInventory=16;FreezerCount=32;Delivery=48;Backup=32;ParFactor=36.30034;Id=-1
70,7/23/2017 12:00:00 AM,1428.72,1200,Name=Sourdough;BeginInventory=64;FreezerCount=104;Delivery=0;Backup=64;ParFactor=10.43093;Id=-1|Name=Whole Wheat;BeginInventory=32;FreezerCount=56;Delivery=0;Backup=32;ParFactor=36.30034;Id=-1
71,7/24/2017 12:00:00 AM,1349.97,1100,Name=Sourdough;BeginInventory=24;FreezerCount=16;Delivery=128;Backup=64;ParFactor=10.5208;Id=-1|Name=Whole Wheat;BeginInventory=0;FreezerCount=48;Delivery=56;Backup=32;ParFactor=40.09493;Id=-1
72,7/25/2017 12:00:00 AM,1103.44,1200,Name=Sourdough;BeginInventory=32;FreezerCount=16;Delivery=152;Backup=64;ParFactor=10.5208;Id=-1|Name=Whole Wheat;BeginInventory=40;FreezerCount=48;Delivery=0;Backup=32;ParFactor=40.09493;Id=-1
73,7/26/2017 12:00:00 AM,963.61,1100,Name=Sourdough;BeginInventory=56;FreezerCount=16;Delivery=92;Backup=64;ParFactor=10.5208;Id=-1|Name=Whole Wheat;BeginInventory=16;FreezerCount=48;Delivery=16;Backup=32;ParFactor=40.09493;Id=-1
74,7/27/2017 12:00:00 AM,992.29,1100,Name=Sourdough;BeginInventory=80;FreezerCount=16;Delivery=128;Backup=64;ParFactor=10.5208;Id=-1|Name=Whole Wheat;BeginInventory=0;FreezerCount=48;Delivery=16;Backup=32;ParFactor=40.09493;Id=-1
75,7/28/2017 12:00:00 AM,1307.8,1200,Name=Sourdough;BeginInventory=64;FreezerCount=56;Delivery=80;Backup=64;ParFactor=10.5208;Id=-1|Name=Whole Wheat;BeginInventory=8;FreezerCount=32;Delivery=32;Backup=32;ParFactor=40.09493;Id=-1
76,7/29/2017 12:00:00 AM,580.98,1400,Name=Sourdough;BeginInventory=24;FreezerCount=56;Delivery=152;Backup=64;ParFactor=10.5208;Id=-1|Name=Whole Wheat;BeginInventory=24;FreezerCount=32;Delivery=32;Backup=32;ParFactor=40.09493;Id=-1
77,7/30/2017 12:00:00 AM,0,1200,Name=Sourdough;BeginInventory=0;FreezerCount=0;Delivery=0;Backup=64;ParFactor=10.5208;Id=-1|Name=Whole Wheat;BeginInventory=0;FreezerCount=0;Delivery=0;Backup=32;ParFactor=40.09493;Id=-1
78,7/31/2017 12:00:00 AM,854.95,1100,Name=Sourdough;BeginInventory=32;FreezerCount=40;Delivery=128;Backup=64;ParFactor=9.668339;Id=-1|Name=Whole Wheat;BeginInventory=16;FreezerCount=64;Delivery=0;Backup=32;ParFactor=36.11657;Id=-1
79,8/1/2017 12:00:00 AM,1331.7,1100,Name=Sourdough;BeginInventory=88;FreezerCount=48;Delivery=104;Backup=64;ParFactor=9.668339;Id=-1|Name=Whole Wheat;BeginInventory=16;FreezerCount=48;Delivery=60;Backup=32;ParFactor=36.11657;Id=-1
80,8/2/2017 12:00:00 AM,1030.64,900,Name=Sourdough;BeginInventory=80;FreezerCount=48;Delivery=64;Backup=64;ParFactor=9.668339;Id=-1|Name=Whole Wheat;BeginInventory=16;FreezerCount=72;Delivery=0;Backup=32;ParFactor=36.11657;Id=-1
81,8/3/2017 12:00:00 AM,1106.88,1100,Name=Sourdough;BeginInventory=48;FreezerCount=48;Delivery=64;Backup=64;ParFactor=9.668339;Id=-1|Name=Whole Wheat;BeginInventory=24;FreezerCount=64;Delivery=0;Backup=32;ParFactor=36.11657;Id=-1
82,8/4/2017 12:00:00 AM,1500.13,1300,Name=Sourdough;BeginInventory=48;FreezerCount=16;Delivery=144;Backup=64;ParFactor=9.668339;Id=-1|Name=Whole Wheat;BeginInventory=16;FreezerCount=40;Delivery=16;Backup=32;ParFactor=36.11657;Id=-1
83,8/5/2017 12:00:00 AM,1418.11,1300,Name=Sourdough;BeginInventory=56;FreezerCount=16;Delivery=144;Backup=64;ParFactor=9.668339;Id=-1|Name=Whole Wheat;BeginInventory=8;FreezerCount=24;Delivery=40;Backup=32;ParFactor=36.11657;Id=-1
84,8/6/2017 12:00:00 AM,798.48,1200,Name=Sourdough;BeginInventory=72;FreezerCount=16;Delivery=144;Backup=64;ParFactor=9.668339;Id=-1|Name=Whole Wheat;BeginInventory=16;FreezerCount=24;Delivery=24;Backup=32;ParFactor=36.11657;Id=-1
85,8/7/2017 12:00:00 AM,1101.23,1400,Name=Sourdough;BeginInventory=72;FreezerCount=16;Delivery=104;Backup=0;ParFactor=9.546849;Id=-1|Name=Whole Wheat;BeginInventory=8;FreezerCount=24;Delivery=40;Backup=0;ParFactor=36.97832;Id=-1
86,8/8/2017 12:00:00 AM,1084.94,1100,Name=Sourdough;BeginInventory=64;FreezerCount=16;Delivery=96;Backup=0;ParFactor=9.546849;Id=-1|Name=Whole Wheat;BeginInventory=32;FreezerCount=24;Delivery=16;Backup=0;ParFactor=36.97832;Id=-1
87,8/9/2017 12:00:00 AM,1042.47,1100,Name=Sourdough;BeginInventory=48;Delivery=64;Backup=0;FreezerCount=32;ParFactor=9.546849;Id=-1|Name=Whole Wheat;BeginInventory=24;FreezerCount=24;Delivery=0;Backup=0;ParFactor=36.97832;Id=-1
88,8/10/2017 12:00:00 AM,1290.42,1100,Name=Sourdough;BeginInventory=16;FreezerCount=32;Delivery=144;Backup=0;ParFactor=9.546849;Id=-1|Name=Whole Wheat;BeginInventory=0;FreezerCount=24;Delivery=32;Backup=0;ParFactor=36.97832;Id=-1
89,8/11/2017 12:00:00 AM,1342.79,1400,Name=Sourdough;BeginInventory=40;FreezerCount=32;Delivery=136;Backup=0;ParFactor=9.546849;Id=-1|Name=Whole Wheat;BeginInventory=16;FreezerCount=8;Delivery=24;Backup=0;ParFactor=36.97832;Id=-1
90,8/12/2017 12:00:00 AM,1550.08,1500,Name=Sourdough;BeginInventory=56;FreezerCount=32;Delivery=128;Backup=0;ParFactor=9.546849;Id=-1|Name=Whole Wheat;BeginInventory=8;FreezerCount=8;Delivery=48;Backup=0;ParFactor=36.97832;Id=-1
