12/05/17 - 13:51:31 - INFO - Changed to tab: New Order
12/05/17 - 13:51:31 - INFO - Changed to tab: New Order
12/05/17 - 13:51:32 - INFO - Executing NewOrderVM#SaveOrder
12/05/17 - 13:51:32 - INFO - Removing temp tab
12/05/17 - 13:51:32 - INFO - Changed to tab: Settings
12/05/17 - 13:51:32 - INFO - Changed to tab: Orders
12/05/17 - 13:51:32 - INFO - Inserted PurchaseOrder: 164
12/05/17 - 13:51:33 - INFO - Upating Vendor: 3
12/06/17 - 13:51:58 - INFO - Changed to tab: Vendors
12/06/17 - 13:51:59 - INFO - Changed to tab: Vendors
12/06/17 - 13:52:00 - INFO - Changed to tab: Vendors
12/06/17 - 13:52:00 - INFO - Changed to tab: Vendors
12/06/17 - 13:52:00 - INFO - Changed to tab: Vendors
12/06/17 - 13:52:00 - INFO - Changed to tab: Vendors
12/06/17 - 13:52:00 - INFO - Changed to tab: Vendors
12/06/17 - 13:52:00 - INFO - Changed to tab: Vendors
12/06/17 - 13:52:00 - INFO - Changed to tab: Vendors
12/06/17 - 13:52:00 - INFO - Changed to tab: Vendors
12/06/17 - 13:52:00 - INFO - Changed to tab: Vendors
12/06/17 - 13:52:00 - INFO - Changed to tab: Vendors
12/06/17 - 13:52:01 - INFO - Executing VendorTabVM#GenerateOrderSheet
12/06/17 - 14:32:44 - INFO - Changed to tab: Orders
12/06/17 - 14:32:45 - INFO - Executing OrderTabVM#StartNewOrder
12/06/17 - 14:32:46 - INFO - Adding temp tab: NewOrderVM
12/06/17 - 14:32:46 - INFO - Changed to tab: New Order
12/06/17 - 14:32:49 - INFO - Changed to tab: New Order
12/06/17 - 14:32:49 - INFO - Changed to tab: New Order
12/06/17 - 14:32:49 - INFO - Changed to tab: New Order
12/06/17 - 14:32:49 - INFO - Changed to tab: New Order
12/06/17 - 14:32:49 - INFO - Changed to tab: New Order
12/06/17 - 14:32:49 - INFO - Changed to tab: New Order
12/06/17 - 14:32:49 - INFO - Changed to tab: New Order
12/06/17 - 14:32:49 - INFO - Changed to tab: New Order
12/06/17 - 14:32:49 - INFO - Changed to tab: New Order
12/06/17 - 14:32:49 - INFO - Changed to tab: New Order
12/06/17 - 14:32:50 - INFO - Executing NewOrderVM#ClearOrderAmounts
12/06/17 - 14:32:50 - INFO - Changed to tab: New Order
12/06/17 - 14:32:50 - INFO - Changed to tab: New Order
12/06/17 - 14:32:50 - INFO - Changed to tab: New Order
12/06/17 - 14:32:50 - INFO - Changed to tab: New Order
12/06/17 - 14:32:50 - INFO - Changed to tab: New Order
12/06/17 - 14:32:50 - INFO - Changed to tab: New Order
12/06/17 - 14:32:50 - INFO - Changed to tab: New Order
12/06/17 - 14:32:50 - INFO - Changed to tab: New Order
12/06/17 - 14:32:51 - INFO - Changed to tab: New Order
12/06/17 - 14:32:57 - INFO - Changed to tab: New Order
12/06/17 - 14:32:59 - INFO - Changed to tab: New Order
12/06/17 - 14:32:59 - INFO - Changed to tab: New Order
12/06/17 - 14:32:59 - INFO - Changed to tab: New Order
12/06/17 - 14:32:59 - INFO - Changed to tab: New Order
12/06/17 - 14:32:59 - INFO - Changed to tab: New Order
12/06/17 - 14:32:59 - INFO - Changed to tab: New Order
12/06/17 - 14:32:59 - INFO - Changed to tab: New Order
12/06/17 - 14:32:59 - INFO - Changed to tab: New Order
12/06/17 - 14:32:59 - INFO - Changed to tab: New Order
12/06/17 - 14:33:00 - INFO - Changed to tab: New Order
12/06/17 - 14:33:00 - INFO - Changed to tab: New Order
12/06/17 - 14:33:00 - INFO - Changed to tab: New Order
12/06/17 - 14:33:00 - INFO - Changed to tab: New Order
12/06/17 - 14:33:00 - INFO - Changed to tab: New Order
12/06/17 - 14:33:00 - INFO - Changed to tab: New Order
12/06/17 - 14:33:00 - INFO - Changed to tab: New Order
12/06/17 - 14:33:00 - INFO - Changed to tab: New Order
12/06/17 - 14:33:00 - INFO - Changed to tab: New Order
12/06/17 - 14:33:00 - INFO - Changed to tab: New Order
12/06/17 - 14:33:01 - INFO - Changed to tab: New Order
12/06/17 - 14:33:02 - INFO - Changed to tab: New Order
12/06/17 - 14:33:02 - INFO - Changed to tab: New Order
12/06/17 - 14:33:02 - INFO - Changed to tab: New Order
12/06/17 - 14:33:02 - INFO - Changed to tab: New Order
12/06/17 - 14:33:02 - INFO - Changed to tab: New Order
12/06/17 - 14:33:02 - INFO - Changed to tab: New Order
12/06/17 - 14:33:02 - INFO - Changed to tab: New Order
12/06/17 - 14:33:02 - INFO - Changed to tab: New Order
12/06/17 - 14:33:02 - INFO - Changed to tab: New Order
12/06/17 - 14:33:02 - INFO - Changed to tab: New Order
12/06/17 - 14:33:03 - INFO - Changed to tab: New Order
12/06/17 - 14:33:03 - INFO - Changed to tab: New Order
12/06/17 - 14:33:03 - INFO - Changed to tab: New Order
12/06/17 - 14:33:03 - INFO - Changed to tab: New Order
12/06/17 - 14:33:04 - INFO - Changed to tab: New Order
12/06/17 - 14:33:04 - INFO - Changed to tab: New Order
12/06/17 - 14:33:04 - INFO - Changed to tab: New Order
12/06/17 - 14:33:04 - INFO - Changed to tab: New Order
12/06/17 - 14:33:04 - INFO - Changed to tab: New Order
12/06/17 - 14:33:04 - INFO - Changed to tab: New Order
12/06/17 - 14:33:04 - INFO - Changed to tab: New Order
12/06/17 - 14:33:04 - INFO - Changed to tab: New Order
12/06/17 - 14:33:05 - INFO - Changed to tab: New Order
12/06/17 - 14:33:05 - INFO - Changed to tab: New Order
12/06/17 - 14:33:05 - INFO - Changed to tab: New Order
