02/15/18 - 10:55:23 - INFO - Upating DailySale: 315
02/15/18 - 10:55:23 - INFO - Upating DailySale: 316
02/15/18 - 10:55:23 - INFO - Upating DailySale: 317
02/15/18 - 10:55:23 - INFO - Upating DailySale: 318
02/15/18 - 10:55:23 - INFO - Upating DailySale: 319
02/15/18 - 10:55:23 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:23 - INFO - Upating DailySale: 320
02/15/18 - 10:55:23 - INFO - Upating DailySale: 321
02/15/18 - 10:55:23 - INFO - Upating DailySale: 322
02/15/18 - 10:55:23 - INFO - Upating DailySale: 323
02/15/18 - 10:55:23 - INFO - Upating DailySale: 324
02/15/18 - 10:55:23 - INFO - Upating DailySale: 325
02/15/18 - 10:55:23 - INFO - Upating DailySale: 326
02/15/18 - 10:55:23 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:23 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:23 - INFO - Upating DailySale: 327
02/15/18 - 10:55:23 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:23 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:23 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:23 - INFO - Upating DailySale: 328
02/15/18 - 10:55:23 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:23 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:23 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:23 - INFO - Destroying DailySale: 319
02/15/18 - 10:55:23 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:23 - INFO - Destroying DailySale: 320
02/15/18 - 10:55:23 - INFO - Destroying DailySale: 321
02/15/18 - 10:55:23 - INFO - Destroying DailySale: 322
02/15/18 - 10:55:24 - INFO - Destroying DailySale: 323
02/15/18 - 10:55:24 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:24 - INFO - Destroying DailySale: 324
02/15/18 - 10:55:24 - INFO - Destroying DailySale: 325
02/15/18 - 10:55:24 - INFO - Destroying DailySale: 326
02/15/18 - 10:55:24 - INFO - Destroying DailySale: 327
02/15/18 - 10:55:24 - INFO - Destroying DailySale: 328
02/15/18 - 10:55:24 - INFO - Inserted DailySale: 319
02/15/18 - 10:55:24 - INFO - Inserted DailySale: 320
02/15/18 - 10:55:24 - INFO - Inserted DailySale: 321
02/15/18 - 10:55:24 - INFO - Inserted DailySale: 322
02/15/18 - 10:55:24 - INFO - Inserted DailySale: 323
02/15/18 - 10:55:24 - INFO - Inserted DailySale: 324
02/15/18 - 10:55:24 - INFO - Inserted DailySale: 325
02/15/18 - 10:55:24 - INFO - Inserted DailySale: 326
02/15/18 - 10:55:24 - INFO - Inserted DailySale: 327
02/15/18 - 10:55:24 - INFO - Inserted DailySale: 328
02/15/18 - 10:55:24 - INFO - Inserted DailySale: 329
02/15/18 - 10:55:24 - INFO - Inserted DailySale: 330
02/15/18 - 10:55:24 - INFO - Inserted DailySale: 331
02/15/18 - 10:55:24 - INFO - Inserted DailySale: 332
02/15/18 - 10:55:24 - INFO - Inserted DailySale: 333
02/15/18 - 10:55:24 - INFO - Inserted DailySale: 334
02/15/18 - 10:55:24 - INFO - Inserted DailySale: 335
02/15/18 - 10:55:24 - INFO - Inserted DailySale: 336
02/15/18 - 10:55:24 - INFO - Inserted DailySale: 337
02/15/18 - 10:55:24 - INFO - Inserted DailySale: 338
02/15/18 - 10:55:24 - INFO - Inserted DailySale: 339
02/15/18 - 10:55:24 - INFO - Inserted DailySale: 340
02/15/18 - 10:55:24 - INFO - Upating ExpenseItem: 823
02/15/18 - 10:55:24 - INFO - Upating ExpenseItem: 824
02/15/18 - 10:55:24 - INFO - Upating ExpenseItem: 825
02/15/18 - 10:55:24 - INFO - Upating ExpenseItem: 826
02/15/18 - 10:55:24 - INFO - Upating ExpenseItem: 827
02/15/18 - 10:55:25 - INFO - Upating ExpenseItem: 828
02/15/18 - 10:55:25 - INFO - Inserted ExpenseItem: 1195
02/15/18 - 10:55:25 - INFO - Inserted ExpenseItem: 1196
02/15/18 - 10:55:25 - INFO - Inserted ExpenseItem: 1197
02/15/18 - 10:55:25 - INFO - Inserted ExpenseItem: 1198
02/15/18 - 10:55:25 - INFO - Inserted ExpenseItem: 1199
02/15/18 - 10:55:25 - INFO - Inserted ExpenseItem: 1200
02/15/18 - 10:55:25 - INFO - Inserted ExpenseItem: 1201
02/15/18 - 10:55:25 - INFO - Inserted ExpenseItem: 1202
02/15/18 - 10:55:25 - INFO - Inserted ExpenseItem: 1203
02/15/18 - 10:55:25 - INFO - Inserted ExpenseItem: 1204
02/15/18 - 10:55:25 - INFO - Inserted ExpenseItem: 1205
02/15/18 - 10:55:25 - INFO - Inserted ExpenseItem: 1206
02/15/18 - 10:55:25 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:25 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:25 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:25 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:25 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:25 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:25 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:25 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:25 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:25 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:26 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:26 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:26 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:29 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:31 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:32 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:32 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:32 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:32 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:32 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:33 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:34 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:34 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:34 - INFO - Changed to tab: Inventory
02/15/18 - 10:55:37 - INFO - Changed to tab: Orders
02/15/18 - 10:55:39 - INFO - Executing OrderTabVM#StartNewOrder
02/15/18 - 10:55:40 - INFO - Adding temp tab: NewOrderVM
02/15/18 - 10:55:40 - INFO - Changed to tab: New Order
02/15/18 - 10:55:43 - INFO - Changed to tab: New Order
02/15/18 - 10:55:43 - INFO - Changed to tab: New Order
02/15/18 - 10:55:43 - INFO - Changed to tab: New Order
02/15/18 - 10:55:43 - INFO - Changed to tab: New Order
02/15/18 - 10:55:43 - INFO - Changed to tab: New Order
02/15/18 - 10:55:43 - INFO - Changed to tab: New Order
02/15/18 - 10:55:43 - INFO - Changed to tab: New Order
02/15/18 - 10:55:43 - INFO - Changed to tab: New Order
02/15/18 - 10:55:43 - INFO - Changed to tab: New Order
02/15/18 - 10:56:49 - INFO - Changed to tab: New Order
02/15/18 - 10:56:49 - INFO - Changed to tab: New Order
02/15/18 - 10:56:49 - INFO - Changed to tab: New Order
02/15/18 - 10:56:49 - INFO - Changed to tab: New Order
02/15/18 - 10:56:49 - INFO - Changed to tab: New Order
02/15/18 - 10:56:49 - INFO - Changed to tab: New Order
02/15/18 - 10:56:50 - INFO - Changed to tab: New Order
02/15/18 - 10:56:50 - INFO - Changed to tab: New Order
02/15/18 - 10:56:50 - INFO - Changed to tab: New Order
02/15/18 - 10:56:50 - INFO - Changed to tab: New Order
02/15/18 - 10:56:50 - INFO - Changed to tab: New Order
02/15/18 - 10:56:50 - INFO - Changed to tab: New Order
02/15/18 - 10:56:50 - INFO - Changed to tab: New Order
02/15/18 - 10:56:50 - INFO - Changed to tab: New Order
02/15/18 - 10:56:50 - INFO - Changed to tab: New Order
02/15/18 - 10:56:50 - INFO - Changed to tab: New Order
02/15/18 - 10:56:50 - INFO - Changed to tab: New Order
02/15/18 - 10:56:50 - INFO - Changed to tab: New Order
02/15/18 - 10:56:50 - INFO - Changed to tab: New Order
02/15/18 - 10:56:50 - INFO - Changed to tab: New Order
02/15/18 - 10:56:50 - INFO - Changed to tab: New Order
