Id,Name,Category,PurchasedUnit,Count,CountUnit,Conversion,RecipeUnit,RecipeUnitConversion,Yield,LastPurchasedPrice,LastOrderAmount,LastPurchasedDate,LastVendorId
124,De-Greaser,Janitorial,4 GAL,10,GALLON,4,1,1,1,70,1,2/21/2018 12:00:00 AM,3
125,Bleach,Janitorial,4 GAL,6,GALLON,4,1,1,1,8,1,2/21/2018 12:00:00 AM,3
126,Steel Wool,Janitorial,12 COUNT,7,Sleeve,12,1,1,1,4.62,1,3/7/2018 12:00:00 AM,3
127,Floor Cleaner,Janitorial,3 GAL,3.8,1 GAL,3,1,1,1,73.67,1,,2
128,Bay Leaves,Herbs,16oz,33.6,OZ-wt,16,OZ-wt,1,1,10.48,1,12/11/2017 12:00:00 AM,2
129,Lemonade Base,Beverage,EA,16.4,GALLON,4,1,16,,21.11,1.75,2/11/2018 12:00:00 AM,2
130,Pink Lemonade Base,Beverage,4 GAL,23,GALLON,4,1,1,,22.23,2,3/2/2018 12:00:00 AM,2
131,Jalapenos Nacho Sliced,Grocery,EA,7,CAN,6,OZ-wt,1,,19.99,1,3/1/2018 12:00:00 AM,0
132,Grill Screens,Janitorial,,0,Sleeve,10,EA,1,1,75.68,0,,
133,Grill Pads,Janitorial,60 COUNT,0,Sleeve,6,1,1,1,69.39,1,3/7/2018 12:00:00 AM,3
134,Buttermilk,Dairy,EA,1,1/2 GALLON,6,EA,1,1,9.89,1,,
135,Hidden Valley Ranch,Grocery,EA,13,EACH,18,EA,1,1,37.79,0,,
136,Red Wine Vinegar,Grocery,EA,0.6,GAL,4,OZ-fl,1,1,10,0,,
137,Fresh Mint,Produce,1lb,0.5,1lb,1,OZ-wt,1,1,4,0,,
138,Strawberries,Produce,EA,1,Basket,1,OZ-wt,1,1,4,0,,
